user;date;text;location;retweeter_usr
rkme15;Thu Feb 10 20:17:46 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Melbourne, Victoria;KatyaYushchenko
krystynaWarsaw;Thu Feb 10 20:17:24 +0000 2022;RT @trussliz: This week I am in Moscow to deliver a strong message that war in Ukraine would be disastrous for Russia, Ukraine and European…;Warszawa, Polska;KatyaYushchenko
s_total_s2;Thu Feb 10 20:17:01 +0000 2022;RT @WithinSyriaBlog: Some people think that Russia will go to war with Ukraine simply because it moved too much troops and can't keep them…;Ελλάς - Greece;KatyaYushchenko
goodlittletiger;Thu Feb 10 20:16:59 +0000 2022;RT @New_Narrative: Russia, Belarus, And Ukraine Have All Begun 10 Days Of Military Drills, Raising Concerns That War Is Near: “At the end o…;United States;KatyaYushchenko
waterconflict;Thu Feb 10 20:16:51 +0000 2022;"RT @GicAriana: Russia has blocked all of Ukraine's ports.

UNGA Resolution 3314 on the Definition of Aggression says the blockade of the po…";Skåneland;KatyaYushchenko
HHepplewhite;Thu Feb 10 20:16:48 +0000 2022;"RT @10DowningStreet: The PM's message today:
 
▪️ Nations have a right to live safely, choose who governs them and decide their destiny.…";United Kingdom;KatyaYushchenko
ThomasG27743671;Thu Feb 10 20:16:36 +0000 2022;RT @anders_aslund: Right now, the West is failing its litmus test. Russia has blocked all Ukraine's port, which the UN recognizes as an act…;San Diego;KatyaYushchenko
carolehope2;Thu Feb 10 20:16:32 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;UK;KatyaYushchenko
fiorifan;Thu Feb 10 20:15:46 +0000 2022;"RT @SocialistAnyDay: The people of Russia are not the enemy.
The people of Ukraine are not the enemy.
War is the enemy. #StopTheWar";upstairs;KatyaYushchenko
clynn561;Thu Feb 10 20:15:32 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;North West, England;KatyaYushchenko
redphael;Thu Feb 10 20:15:28 +0000 2022;"RT @redsarah99: The people of Russia are not the enemy.
The people of Ukraine are not the enemy.
War is the enemy. #StopTheWar #NoMoreWar h…";Greater Manchester;KatyaYushchenko
sportingspits;Thu Feb 10 20:15:06 +0000 2022;"RT @SocialistAnyDay: The people of Russia are not the enemy.
The people of Ukraine are not the enemy.
War is the enemy. #StopTheWar";Hessle E Yorks;KatyaYushchenko
pjokkis;Thu Feb 10 20:14:54 +0000 2022;RT @anders_aslund: Right now, the West is failing its litmus test. Russia has blocked all Ukraine's port, which the UN recognizes as an act…;Oslo;KatyaYushchenko
StepanKokhan;Thu Feb 10 20:14:44 +0000 2022;"RT @GicAriana: Russia has blocked all of Ukraine's ports.

UNGA Resolution 3314 on the Definition of Aggression says the blockade of the po…";Costa Adriatica;KatyaYushchenko
CarlDoran13;Thu Feb 10 20:14:31 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Reading;KatyaYushchenko
sportingspits;Thu Feb 10 20:14:29 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Hessle E Yorks;KatyaYushchenko
Eesy20;Thu Feb 10 20:13:53 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Manchester, England;KatyaYushchenko
mrsberthamason1;Thu Feb 10 20:13:48 +0000 2022;"RT @GicAriana: Russia has blocked all of Ukraine's ports.

UNGA Resolution 3314 on the Definition of Aggression says the blockade of the po…";The ramble;KatyaYushchenko
olekslap;Thu Feb 10 20:13:41 +0000 2022;"RT @ChristopherJM: Russia, Belarus, And Ukraine Have All Begun 10 Days Of Military Drills, Raising Concerns That War Is Near

My report fro…";Ukraine;KatyaYushchenko
bimblelass;Thu Feb 10 20:13:36 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…; NW England;KatyaYushchenko
AlwaysUhhJustin;Thu Feb 10 20:13:26 +0000 2022;RT @anders_aslund: Right now, the West is failing its litmus test. Russia has blocked all Ukraine's port, which the UN recognizes as an act…;New York, NY / COVID Nomad;KatyaYushchenko
4U_WTF;Thu Feb 10 20:13:11 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Australia;KatyaYushchenko
MarkChesham;Thu Feb 10 20:13:10 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Loulé, Portugal;KatyaYushchenko
razorclam29;Thu Feb 10 20:12:49 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Swansea, Wales;KatyaYushchenko
PALythgoe;Thu Feb 10 20:12:47 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Cambridge, England;KatyaYushchenko
Michael25970788;Thu Feb 10 20:12:44 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Edinburgh, Scotland;KatyaYushchenko
JoanDevizes;Thu Feb 10 20:12:40 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Europe;KatyaYushchenko
moniquejolie;Thu Feb 10 20:12:27 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Everywhere;KatyaYushchenko
Stefan_Laurell;Thu Feb 10 20:12:06 +0000 2022;"RT @BuzzFeedNews: Russia, Belarus, and Ukraine have all begun 10 days of military drills, raising concerns that war is near. 
https://t.co/…";Sweden;KatyaYushchenko
MaryamR91092171;Thu Feb 10 20:11:43 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;United Kingdom;KatyaYushchenko
JefJC;Thu Feb 10 20:11:43 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;United Kingdom;KatyaYushchenko
MaciejOlchawa;Thu Feb 10 20:11:43 +0000 2022;RT @anders_aslund: Right now, the West is failing its litmus test. Russia has blocked all Ukraine's port, which the UN recognizes as an act…;Chicago, IL;KatyaYushchenko
teyrsethow;Thu Feb 10 20:11:39 +0000 2022;"RT @GicAriana: Russia has blocked all of Ukraine's ports.

UNGA Resolution 3314 on the Definition of Aggression says the blockade of the po…";жыве беларусь | яна/яе;KatyaYushchenko
Europeaniste;Thu Feb 10 20:11:28 +0000 2022;RT @IAPonomarenko: The Russian war has cost Ukraine $280 billion in lost GDP. Hostilities in Donbas have cost us $14.6 billion a year. The…;R.S.S. de France;KatyaYushchenko
DJH1972;Thu Feb 10 20:11:17 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Wigan, NW England;KatyaYushchenko
bolshevik_bee;Thu Feb 10 20:11:01 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Manchester;KatyaYushchenko
KSmth2000;Thu Feb 10 20:10:58 +0000 2022;RT @ASBMilitary: If you look past the NATO propaganda: Georgia and Ukraine will never be NATO members. Russia made sure of it in 2008 and i…;That hedgerow, over there..;KatyaYushchenko
Ollie4TheMany;Thu Feb 10 20:10:54 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;West Midlands, England;KatyaYushchenko
BoomerMarketing;Thu Feb 10 20:10:53 +0000 2022;RT @BoomerMarketing: Do Americans and Europeans really want an armed war with Russia? Time to think about: The Peace Symbol: A Transformati…;Denver, Colorado;KatyaYushchenko
TrueBellerophon;Thu Feb 10 20:10:50 +0000 2022;"RT @GicAriana: Russia has blocked all of Ukraine's ports.

UNGA Resolution 3314 on the Definition of Aggression says the blockade of the po…";Shamballa;KatyaYushchenko
robdowde;Thu Feb 10 20:10:41 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Home ;KatyaYushchenko
BobMorris561;Thu Feb 10 20:10:30 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Востряково, Россия;KatyaYushchenko
KSmth2000;Thu Feb 10 20:10:25 +0000 2022;RT @vicktop55: 1/2 Ukraine has nothing to do with it.  NATO is preparing for war with Russia.  British Prime Minister Boris Johnson reveale…;That hedgerow, over there..;KatyaYushchenko
barselona_59;Thu Feb 10 20:10:17 +0000 2022;RT @anders_aslund: Right now, the West is failing its litmus test. Russia has blocked all Ukraine's port, which the UN recognizes as an act…;Агрорейх;KatyaYushchenko
Leslieoqvist;Thu Feb 10 20:09:48 +0000 2022;RT @anders_aslund: Right now, the West is failing its litmus test. Russia has blocked all Ukraine's port, which the UN recognizes as an act…;Vaxholm, Sverige;KatyaYushchenko
Thisisimagined;Thu Feb 10 20:09:44 +0000 2022;RT @anders_aslund: Right now, the West is failing its litmus test. Russia has blocked all Ukraine's port, which the UN recognizes as an act…;USA;KatyaYushchenko
walterbilas;Thu Feb 10 20:09:18 +0000 2022;RT @anders_aslund: Right now, the West is failing its litmus test. Russia has blocked all Ukraine's port, which the UN recognizes as an act…;London;KatyaYushchenko
littlehawk463;Thu Feb 10 20:09:17 +0000 2022;"RT @GicAriana: Russia has blocked all of Ukraine's ports.

UNGA Resolution 3314 on the Definition of Aggression says the blockade of the po…";Arizona, USA;KatyaYushchenko
andy_tay1;Thu Feb 10 20:09:12 +0000 2022;"RT @labisiffre: To hear Boris Johnson representing GB in Brussels regarding Putin, Russia, Ukraine, NATO, war &amp; global order, &amp; lecturing a…";North West, England;KatyaYushchenko
ecoworriertoo;Thu Feb 10 20:09:02 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Surrey seems the hardest word.;KatyaYushchenko
Cirincione;Thu Feb 10 20:08:49 +0000 2022;RT @ErnestMoniz: Recommendations from me, Sam Nunn and @JonHuntsman on finding a path forward for Ukraine, Russia and NATO.  Progress on ne…;Washington, DC;KatyaYushchenko
centerstoic;Thu Feb 10 20:08:44 +0000 2022;RT @olgatokariuk: Ukraine’s GDP increased by 3.2% in 2021. Despite the pandemic, the ongoing war, and the threat of another invasion by Rus…;The Pirate Island;KatyaYushchenko
ere_phil;Thu Feb 10 20:08:44 +0000 2022;RT @STWuk: We reject Keir Starmer's attack in today's Guardian. Stop the War opposes war in Ukraine and believes the differences between Uk…;Essex, UK;KatyaYushchenko
logicaldebate;Thu Feb 10 20:08:43 +0000 2022;"RT @GicAriana: Russia has blocked all of Ukraine's ports.

UNGA Resolution 3314 on the Definition of Aggression says the blockade of the po…";Krugersdorp, South Africa;KatyaYushchenko
OJthetard;Thu Feb 10 20:08:32 +0000 2022;"RT @GicAriana: Russia has blocked all of Ukraine's ports.

UNGA Resolution 3314 on the Definition of Aggression says the blockade of the po…";Manhattan, NY;KatyaYushchenko
BielszymX;Thu Feb 10 20:08:17 +0000 2022;RT @anders_aslund: Right now, the West is failing its litmus test. Russia has blocked all Ukraine's port, which the UN recognizes as an act…;Polska, Stary Żoliborz;KatyaYushchenko
